El siguiente dataset contiene información sobre las calorías quemadas por un conjunto de 685 individuos								
en función de la actividad física realizada, su duración y la distancia recorrida.								
								
VARIABLES:								
id: número identificatorio del individuo								
duracion: tiempo en minutos dedicado a la actividad								
distancia: distancia recorrida durante la actividad en km								
actividad: el tipo de actividad física realizada por el individuo, que puede ser "caminar", "trotar" o "correr"								
calorias quemadas: cantidad estimada de calorías quemadas durante la actividad				
				
id	duracion_min	distancia_km	actividad	calorias quemadas
1	10,18	4,2	correr	241,3
2	5,36	3,4	caminar	201,5
3	22,08	2,4	trotar	258,7
4	14,02	6,9	trotar	242,9
5	20,73	4,7	correr	296,7
6	20,44	7,0	correr	308,9
7	18,26	8,1	Caminar	255,6
8	11,12	3,4	caminar	219,9
9	19,77	4,7	caminar	257,0
10	14,38	8,5	caminar	264,1
11	13,10	7,9	trotar	243,6
12	13,03	3,8	Caminar	231,1
13	17,57	4,8	trotar	283,2
14	7,10	7,0	trotar	270,6
15	14,76	3,1	correr	264,4
16	12,30	8,5	correr	294,0
17	18,09	3,5	correr	260,9
18	2,94	5,6	caminar	271,3
19	14,13	7,4	caminar	263,5
20	17,22	6,5	caminar	269,0
21	19,03	1,5	trotar	247,0
22	21,25	4,3	caminar	271,4
23	16,70	4,3	trotar	267,0
24	21,90	8,1	trotar	316,3
25	11,85	7,2	caminar	246,9
26	14,37	8,0	trotar	280,3
27	7,52	1,5	trotar	246,3
28	13,58	7,5	caminar	239,5
29	17,26	5,2	caminar	268,1
30	16,66	4,9	trotar	290,4
31	17,51	5,8	trotar	266,2
32	7,84	3,1	correr	233,8
33	19,48	6,7	caminar	237,2
34	19,41	1,7	caminar	244,1
35	6,37	7,1	caminar	245,6
36	5,40	8,1	correr	306,7
37	15,08	4,7	trotar	298,7
38	14,98	6,7	caminar	249,6
39	14,52	4,0	caminar	222,2
40	16,63	3,0	caminar	236,8
41	14,11	8,7	trotar	273,8
42	5,04	1,7	caminar	232,9
43	15,81	8,0	correr	287,2
44	10,84	6,3	caminar	249,9
45	9,19	6,1	caminar	224,7
46	5,83	5,2	caminar	259,2
47	9,21	8,3	trotar	264,0
48	19,80	3,6	caminar	241,0
49	13,74	5,8	caminar	232,7
50	19,86	6,5	correr	301,5
51	20,95	5,8	caminar	280,9
52	17,91	4,0	caminar	219,4
53	15,39	5,9	caminar	253,2
54	19,40	3,5	correr	272,4
55	8,69	5,0	trotar	291,3
56	21,66	5,5	trotar	284,7
57	8,29	5,3	caminar	253,3
58	18,17	5,3	caminar	246,7
59	6,78	5,3	caminar	240,5
60	1,19	5,2	caminar	225,3
61	11,43	5,6	caminar	261,7
62	16,91	4,0	caminar	244,8
63	7,01	4,7	caminar	241,9
64	3,72	6,4	caminar	221,0
65	6,39	4,9	caminar	251,9
66	4,75	8,0	caminar	259,2
67	19,09	3,3	trotar	243,2
68	21,93	6,2	caminar	271,1
69	9,42	5,8	caminar	269,3
70	9,94	6,9	trotar	240,7
71	11,74	2,9	correr	234,2
72	8,74	2,9	trotar	260,1
73	11,39	3,8	caminar	210,4
74	7,99	6,6	trotar	260,9
75	7,12	9,2	trotar	252,9
76	22,30	7,9	caminar	291,5
77	19,99	5,2	caminar	289,0
78	21,71	3,3	trotar	246,3
79	14,40	7,9	caminar	250,7
80	22,23	6,6	trotar	242,8
81	6,99	3,6	trotar	266,9
82	19,32	3,6	trotar	272,9
83	21,13	3,0	trotar	223,7
84	21,20	7,6	caminar	266,8
85	22,71	6,3	trotar	295,0
86	20,74	5,3	trotar	258,1
87	8,28	3,0	caminar	223,6
88	11,75	1,2	caminar	226,7
89	14,06	0,5	correr	253,9
90	19,14	3,6	trotar	249,8
91	19,61	0,6	caminar	249,7
92	8,69	3,6	trotar	251,4
93	10,87	5,5	trotar	242,6
94	21,05	8,6	caminar	254,8
95	20,34	5,1	correr	265,4
96	14,47	7,4	trotar	246,6
