indice_tiempo,fci_renta_fija,fci_renta_mixta,fci_mercado_dinero,fci_renta_variable,fci_fondos_pymes,fci_infraestructura,fci_retorno_total,fci_cerrados,fci_asg,fci_patrimonio_neto_total
2011-01-01,8246.0,1758.0,8821.0,2329.0,,,,,,21154.0
2011-02-01,8578.2,1872.6,9086.8,2276.5,,,,,,21814.1
2011-03-01,9854.2,1997.8,9950.3,2242.4,,,,,,24044.7
2011-04-01,11037.8,2053.0,10382.4,2286.0,,,,,,25759.199999999997
2011-05-01,11211.4,2107.2,9898.6,2223.5,,,,,,25440.699999999997
2011-06-01,10459.9,2319.9,8662.6,2207.3,,,,,,23649.7
2011-07-01,10881.6,2428.2,9240.6,2127.3,,,,,,24677.7
2011-08-01,11580.2,2625.6,10154.5,1953.9,,,,,,26314.200000000004
2011-09-01,11477.7,2656.2,9869.4,1646.4,,,,,,25649.700000000004
2011-10-01,10769.3,3177.9,9953.9,1897.6,,,,,,25798.699999999997
2011-11-01,10973.3,3473.4,10140.1,1639.0,,,,,,26225.8
2011-12-01,12110.8,3801.1,11685.8,1668.5,,,,,,29266.0
2012-01-01,14449.1,3968.2,10367.1,1744.3,,,,,,30528.7
2012-02-01,16061.7,4279.7,11170.8,1729.9,,,,,,33242.1
2012-03-01,17708.4,2833.0,12413.5,720.7,1737.5,641.7,361.7,,,36416.49999999999
2012-04-01,18150.6,2999.0,12692.6,730.7,1559.6,646.4,369.3,,,37148.2
2012-05-01,19183.7,3277.8,14164.9,737.2,1545.6,657.4,431.6,,,39998.2
2012-06-01,18962.4,3862.5,13598.6,744.4,1630.9,672.5,450.6,,,39921.9
2012-07-01,19634.6,3850.7,13162.2,985.2,1657.2,683.3,505.8,,,40479.0
2012-08-01,19163.3,3724.7,14159.8,990.0,1281.2,673.8,104.8,,,40097.6
2012-09-01,19283.5,3915.7,13935.9,999.3,1279.4,713.5,125.4,,,40252.700000000004
2012-10-01,20924.5,4008.2,17087.5,1010.8,1240.4,725.8,101.3,,,45098.50000000001
2012-11-01,21001.7,4257.0,16372.2,1034.3,1288.7,762.6,126.9,,,44843.4
2012-12-01,20122.0,4357.0,17072.0,781.0,1176.0,1413.0,224.0,,,45145.0
2013-01-01,23774.0,4819.0,18383.0,838.0,1336.0,1739.0,348.0,,,51237.0
2013-02-01,24771.0,5017.0,19550.0,876.0,1380.0,1572.0,436.0,,,53602.0
2013-03-01,26367.0,5418.0,20348.0,1235.0,1742.0,1660.0,502.0,,,57272.0
2013-04-01,27646.0,5916.0,20039.0,1288.0,1798.0,1743.0,579.0,,,59009.0
2013-05-01,27311.0,5732.0,20120.0,1379.0,1959.0,1515.0,528.0,,,58544.0
2013-06-01,26692.0,5187.0,19385.0,1767.0,2517.0,1286.0,534.0,,,57368.0
2013-07-01,28642.0,5593.0,19999.0,1799.0,2473.0,1450.0,578.0,,,60534.0
2013-08-01,30147.0,5791.0,20500.0,1945.0,2480.0,1674.0,694.0,,,63231.0
2013-09-01,29292.0,6405.0,20240.0,2093.0,2494.0,2025.0,832.0,,,63381.0
2013-10-01,32293.0,6896.0,22260.0,2276.0,2588.0,2159.0,1090.0,,,69562.0
2013-11-01,33296.0,7341.0,21866.0,2348.0,2852.0,2474.0,1171.0,,,71348.0
2013-12-01,33752.0,6750.0,23430.0,2996.0,2485.0,2202.0,1270.0,,,72885.0
2014-01-01,40116.0,7936.0,28176.0,3032.0,2778.0,2430.0,1506.0,,,85974.0
2014-02-01,37637.0,8067.0,25110.0,3091.0,3116.0,2351.0,1103.0,,,80475.0
2014-03-01,36859.0,8332.0,22865.0,3234.0,3398.0,2579.0,1205.0,,,78472.0
2014-04-01,42653.0,7946.0,27575.0,3279.0,3464.0,2795.0,1097.0,,,88809.0
2014-05-01,45260.0,8656.0,26713.0,3448.0,3840.0,3440.0,1297.0,,,92654.0
2014-06-01,44425.0,8629.0,22860.0,3886.0,4897.0,3505.0,1341.0,,,89543.0
2014-07-01,49760.0,8905.0,26321.0,3962.0,4971.0,3696.0,1469.0,,,99084.0
2014-08-01,56442.0,10056.0,35126.0,4285.0,5705.0,4163.0,1657.0,,,117434.0
2014-09-01,62347.0,11172.0,38362.0,5904.0,7657.0,4998.0,1828.0,,,132268.0
2014-10-01,67801.0,11375.0,37721.0,5297.0,7346.0,4946.0,1904.0,,,136390.0
2014-11-01,68729.0,11127.0,36664.0,5128.0,7268.0,4830.0,1650.0,,,135396.0
2014-12-01,66981.0,11081.0,35434.0,5388.0,7708.0,4194.0,1521.0,,,132307.0
2015-01-01,72926.0,10807.0,37528.0,5525.0,7876.0,4385.0,1563.0,,,140610.0
2015-02-01,77155.0,11811.0,39061.0,5584.0,7730.0,5133.0,1708.0,,,148182.0
2015-03-01,78374.0,12376.0,40576.0,5844.0,8413.0,6027.0,1749.0,,,153359.0
2015-04-01,90447.0,12792.0,41185.0,5994.0,8591.0,6192.0,1888.0,,,167089.0
2015-05-01,89283.0,13210.0,39804.0,6207.0,8356.0,5599.0,1824.0,,,164283.0
2015-06-01,94607.0,14045.0,37931.0,7059.0,9148.0,5695.0,1805.0,,,170290.0
2015-07-01,98009.0,14353.0,37742.0,7048.0,9614.0,5623.0,1664.0,,,174053.0
2015-08-01,100895.0,14994.0,41278.0,7316.0,10054.0,5662.0,2514.0,,,182713.0
2015-09-01,101910.0,14607.0,40430.0,8584.0,9953.0,5068.0,2874.0,,,183426.0
2015-10-01,109754.0,15458.0,45630.0,9119.0,10438.0,6902.0,2950.0,,,200251.0
2015-11-01,119969.0,16483.0,50175.0,9510.0,10747.0,7328.0,3711.0,,,217923.0
2015-12-01,110812.0,18767.0,50847.0,6679.0,9815.0,11112.0,3586.0,,,211618.0
2016-01-01,113257.0,19250.0,44507.0,6735.0,9104.0,10400.0,3388.0,,,206641.0
2016-02-01,124665.0,21027.0,39501.0,7810.0,9716.0,10770.0,3591.0,,,217080.0
2016-03-01,117754.0,21120.0,37354.0,7095.0,12169.0,9473.0,3404.0,,,208369.0
2016-04-01,122236.0,21609.0,37849.0,7071.0,12188.0,9268.0,2998.0,,,213219.0
2016-05-01,133283.0,27883.0,33523.0,6830.0,12434.0,9469.0,2814.0,,,226236.0
2016-06-01,145780.0,33608.0,35370.0,7678.0,12815.0,9878.0,3082.0,,,248211.0
2016-07-01,167161.0,34602.0,48156.0,8041.0,12320.0,8997.0,2985.0,,,282262.0
2016-08-01,186523.0,39801.0,40766.0,7962.0,12551.0,8403.0,2724.0,,,298730.0
2016-09-01,197238.0,38901.0,43765.0,9010.0,12595.0,8460.0,3268.0,,,313237.0
2016-10-01,207426.0,39868.0,49329.0,9849.0,12495.0,8450.0,3403.0,,,330820.0
2016-11-01,220402.0,39545.0,53690.0,10093.0,12234.0,8472.0,2762.0,,,347198.0
2016-12-01,201394.0,41528.0,44799.0,9857.0,13766.0,8475.0,2455.0,,,322274.0
2017-01-01,255940.0,32727.0,43819.0,11527.0,13737.0,7209.0,2603.0,,,367562.0
2017-02-01,292068.0,34413.0,55902.0,12127.0,13858.0,6978.0,2528.0,,,417875.0
2017-03-01,319815.0,37379.0,52660.0,13403.0,14170.0,7013.0,2482.0,,,446923.0
2017-04-01,333025.0,40881.0,47561.0,14538.0,14199.0,6980.0,2544.0,,,459727.0
2017-05-01,342169.0,44486.0,48812.0,16472.0,14350.0,7005.0,3015.0,,,476309.0
2017-06-01,348088.0,45276.0,46787.0,16732.0,14460.0,7031.0,3236.0,,,481610.0
2017-07-01,357820.0,48052.0,47539.0,16116.0,14400.0,7359.0,3601.0,,,494887.0
2017-08-01,369907.0,47705.0,51204.0,18127.0,14596.0,7234.0,4732.0,,,513505.0
2017-09-01,383842.54419,51966.859747,46543.043873,21085.042147,15086.086507,7058.103164,6201.758088,,,531783.437716
2017-10-01,408851.73266656493,52576.56545154215,50880.48711216415,23992.4959889605,15083.71864542,6904.44535966,7409.14170288895,,,565698.5869272007
2017-11-01,417405.6764381322,50056.789510217895,50242.402327,23332.9535320387,14547.3121294,6367.89701604,7588.229183743,,,569541.2601367881
2017-12-01,375306.83486450306,52057.07361821764,62043.509694758824,25403.332795607515,15386.51483806,6348.19886805,8262.32886235878,,,544807.7935415559
2018-01-01,461274.930399,52679.817275,60138.210962,34099.905225,15541.719333,6417.322415,8876.498344,,,639028.4039529999
2018-02-01,480260.8770792729,53912.76812518805,63318.757014989096,31889.8468195321,15579.04448917,6498.83275713,8895.5447754044,,,660355.6710606866
2018-03-01,501682.074883,54790.538126,59610.600203,30108.88389,15886.815669,6206.455829,8818.019472,,,677103.388072
2018-04-01,532326.231792,50787.038638,57347.978643,28048.682987,16137.092655,4903.990311,8754.85177,,,698305.866797
2018-05-01,444092.6669723364,51309.18862567491,72639.413833464,25839.2058523458,16697.54210687,5114.26750271,8895.557558201599,,,624587.8424516029
2018-06-01,415858.85899839026,52400.12811621791,96253.859502925,23322.919199932498,17475.86834638,5284.39113876,8965.1944147269,,,619561.2197173326
2018-07-01,359724.40111755277,49362.19546226122,103012.5394066851,26119.819245625204,17558.513222019697,4851.198201810001,9200.637757452598,,,569829.3044134066
2018-08-01,330197.62505557534,52851.888776629996,124340.85523425,22644.471809495,18570.646121435002,5269.525830680001,9183.078185979999,,,563058.0910140453
2018-09-01,320715.7463527993,58902.7014383595,127277.1245685295,28711.319012871998,20599.3889913605,5902.90244747,8381.822626752499,,,570491.0054381432
2018-10-01,320854.3403302378,55137.726713957505,122159.06893968249,24291.423012544998,20627.162783185002,5939.3803268,7777.500034807499,,,556786.6021412153
2018-11-01,337571.0715365718,56853.459058698,137806.80664051158,26247.9407472942,21317.8364472692,6223.028409439999,8697.2134416604,,,594717.3562814452
2018-12-01,330714.6264829188,56123.600500229,151840.341815788,24372.050408761002,22142.461232417998,6219.87479129,8232.227270409,,,599645.1825018136
2019-01-01,395303.9899548738,60939.3786598965,182875.73813357498,29010.664669898,22917.1508738095,6430.09376687,9909.738572819999,,,707386.7546317428
2019-02-01,416745.73562158586,65169.157005236,184880.755021158,27357.0937244775,23983.668653905497,6734.41770876,10007.5142839145,,,734878.3420190372
2019-03-01,410034.347233442,74137.38235349335,192020.4169041849,26343.841512742598,27693.8749405181,6991.53375653,11176.75853636225,,,748398.1552372731
2019-04-01,388102.2268596108,72606.42832021849,206055.343584454,23482.495577567002,30360.603831211,6604.3279208,12029.4178055195,,,739240.8438993809
2019-05-01,388978.6558548433,76698.7869543956,233587.13755797799,29562.8352440322,33221.45712393671,6855.142079069999,13133.2181001048,,,782037.2329143606
2019-06-01,398662.85841959104,75253.94494146401,212506.5496082255,28131.882919162497,37025.028737974,7004.68701349,11412.1219829395,5721.8729409391,,775718.9465637855
2019-07-01,441847.052569362,79408.9311350221,238958.57851747,28565.5747349088,36513.9903416643,11508.0465688936,12061.212358511299,5765.3411211079,,854628.7273469398
2019-08-01,309150.25684993505,72348.90836994065,141109.2002991011,19237.972924201193,34936.5550475849,12666.857939750302,13909.44742939804,6007.6960299579805,,609366.8948898691
2019-09-01,239839.80463619897,68007.09913969033,254565.89360785842,20941.776556439367,37401.46966278004,12765.53123309638,11388.04275630471,5919.565842669936,,650829.1834350381
2019-10-01,259252.83933667018,81862.4518586374,297625.92500957946,24284.989005310057,39669.61499379337,17960.84551468525,13578.16008520732,13530.140671330426,,747764.9664752133
2019-11-01,259198.632946131,83023.37074679378,364359.1141873101,23509.983103819028,40069.0666836262,18158.18092450906,12990.51298622174,16646.819687779815,,817955.6812661908
2019-12-01,278301.812627,99863.244232,349296.336704,26791.097597,43576.45522,19225.022548,13770.827027,19157.840044,,849982.635998
2020-01-01,317268.3254377818,113146.2553751214,428632.5966414176,26650.408504325198,46940.69329055122,25043.068695015685,14087.829678503098,19626.791906723025,,991395.969529439
2020-02-01,301396.80504478083,108691.43863501439,465594.02240075637,22888.564402037096,48376.389821797384,24605.17784150304,12471.62013838344,19614.392189856382,,1003638.4104741287
2020-03-01,280353.7292665465,101951.4121786602,504532.33556799905,15852.209454351285,50453.64176609097,25030.404835906556,9916.295101789901,24305.84731753392,,1012395.8754888785
2020-04-01,329338.65736635064,122659.66639120645,652768.7332953117,21562.579481433204,53754.44351599005,29682.886881099465,13131.904364070442,28380.62284143593,,1251279.4941368978
2020-05-01,347267.8010296235,125608.36773539164,673091.9170632322,25710.473208787538,57692.83805336824,30905.103442447198,14589.610522172428,28301.378359181508,,1303167.4894142041
2020-06-01,387349.68385918206,128242.61417617131,717983.4637175523,26314.815658113715,62508.04865527589,33638.3359934289,14773.808505733517,28107.720641481603,,1398918.491206939
2020-07-01,503831.7125679821,148053.14948018763,808765.6555269017,34033.27781015099,65518.31193602651,38542.71078566752,20191.494152713585,29232.35385507501,,1648168.666114705
2020-08-01,576787.611498068,152799.12282404501,791540.9467161794,32786.785563961625,67303.54512461192,41345.355743430504,22690.10663218186,30922.96983460348,,1716176.4439370823
2020-09-01,612165.6754779856,153189.86016962738,785889.3570988601,29316.608290285567,71990.60615121387,43592.21040414059,24280.223248005634,31419.629698100358,,1751844.1705382192
2020-10-01,604261.2722869538,154351.7623721199,798557.2596598619,31397.391787885543,73500.02784817,44309.32362132376,30661.188496341172,31681.6272071987,,1768719.8532798553
2020-11-01,637657.3219446214,160325.4391020476,827143.1939595059,37032.93707637957,75712.35739642,46817.99353230583,32442.557842783222,32052.85118832854,,1849184.6520423922
2020-12-01,643018.1482588021,165903.09122907714,896185.6373443336,34502.45960266864,79280.54436832001,47234.96527770722,32905.48742560378,39068.46580275151,,1938098.7993092642
2021-01-01,684397.3514452723,173167.91623554498,972727.8911867212,32146.33628252298,81977.8145583,48669.293702119765,34350.3363358443,39461.46028182048,,2066898.4000281463
2021-02-01,728879.0104052593,173638.8762106253,1019489.3482787558,31341.68473489072,85639.33740852,49845.07234152318,33769.51334576551,39248.53808544832,,2161851.380810788
2021-03-01,724922.9521657424,173193.62072807772,1133338.045418205,29249.767127119743,91097.39169501,49997.07717274068,32637.572635519417,39107.00346377931,,2273543.4304061937
2021-04-01,765376.2602009878,182099.79501794718,1169627.8280589576,29193.8546000916,94400.6707054,52753.624512498965,36225.51134186268,39589.52572273473,,2369267.0701604798
2021-05-01,796776.5641315046,183027.3365414136,1138731.2209937284,34385.07719844873,97065.49675743,56167.72736549045,36261.54539225681,41299.15245447936,,2383714.1208347515
2021-06-01,830851.2336721028,198256.28638315285,1191343.0981735669,35532.87844721451,103457.88950002,59152.30027239201,39054.91327892816,41413.157363968465,,2499061.7570913453
2021-07-01,917409.0777259914,211408.53051852447,1307141.1059063731,37295.80195237388,107794.81904189999,63003.80760805913,42929.60370279375,43737.100441234725,,2730719.8468972505
2021-08-01,958030.066159076,219787.71168003112,1398634.719362758,42834.154082305125,109693.05283525,65919.27236625776,44393.8474130598,48157.21694980404,,2887450.040848541
2021-09-01,1016167.517938367,228811.81226254045,1440356.6052514715,44953.45738874184,115269.70051246001,70760.94318140078,46770.914813478,49062.097996,0.0,3012394.7820464596
2021-10-01,1134592.131731385,245194.8826318165,1676485.7585607837,52052.13652327298,117422.39798778,76125.85188060012,51261.69620843097,50220.74317321016,241.732702,3403614.5930082793
2021-11-01,1221992.35216777,252886.96073164773,1702443.4177871747,48606.66347331569,119434.94778110001,77157.9333008989,53455.81882420189,54165.893707093535,283.51972643,3530427.507499632
2021-12-01,1282065.2383896513,267077.2521930707,1695010.6549054417,50273.18109293287,123652.90096223,77342.19930610049,54983.66292206063,54800.51681925279,301.59812619999997,3605507.20471694
2022-01-01,1417165.4582328447,289895.4285878554,1750893.4817596057,55571.98638625531,127357.63457363,81748.25118175609,59172.010431092436,55613.50158333578,310.59197659,3837728.3447129657
2022-02-01,1511105.2439413806,286139.0833175706,1732999.997642115,54244.73281264561,129766.04913709,79648.06826339796,58283.60445113148,54812.41867224298,334.80645229000004,3907334.0046898643
2022-03-01,1688351.9844150401,295236.03712764004,1824948.59174806,56972.452546142995,136180.02956968,79130.82696624499,60047.623236661006,60845.439569671995,349.4341052,4202062.419284341
2022-04-01,1908457.531806,314815.455631,1899629.10226,57065.230488,137302.23145,85293.652774,66069.833201,60569.048991,369.385804,4529571.472405001
2022-05-01,1940384.1968495045,325299.6590738704,1918206.4129972765,56196.366566778444,141945.84318028,86123.5675711022,70814.96851691882,63986.563869550235,409.98082309,4603367.559448372
2022-06-01,1593892.0904265612,319369.27923726564,2210378.7409833865,53443.37603553506,146807.75357742002,99488.53619892876,69632.85829215916,89156.17971046947,527.13575674,4582695.950218466
2022-07-01,1691994.5213606136,360869.0540811247,2364972.5401094793,74211.20881589026,145676.16832465,111069.78550169941,79806.87297594726,90667.91906553674,955.359219,4920223.429453941
2022-08-01,1833782.992066,381772.022443,2498341.766226,86412.129662,150767.186032,119906.362244,83687.977352,113801.03785,955.359219,5269426.833093999
2022-09-01,1970986.97668288,400747.68305820355,2858182.750514634,91384.1122699572,167243.51558868,122682.76003561346,83770.14931847017,115129.92652995212,1083.2771885999998,5811211.1511869915
2022-10-01,2020348.365114,407170.655707,3007389.628752,97325.606592,175086.929757,126642.47158,82203.416731,115839.199941,1223.884564,6033230.158737999
2022-11-01,2100577.039086993,425976.7476538327,3347610.989068714,107575.60145462128,184255.10946626,135195.50136141584,86860.80249374048,140658.96232264405,1388.9294506800002,6530099.682358901
2022-12-01,2179096.05221413,449223.261206138,3621666.201727351,124756.27056032175,201143.35975698,148731.43931600935,91242.11996893816,145350.2070956644,1548.9039896900001,6962757.815835218
2023-01-01,2402798.9701575097,489701.26967822196,3812831.4027188397,159007.683773935,212810.68689025,160964.906991572,97853.46353574499,146664.40231162298,1727.0230053599998,7492568.36722354
2023-02-01,2524772.417431295,510148.9169037961,4210400.542877618,153567.17055528171,223882.06963806,176082.19589799552,98014.45943036118,147384.31634235906,1964.9217716800001,8053980.632024797
2023-03-01,2672596.874433469,544360.9210729434,4448852.972438054,145569.73428037026,242298.04763248,193323.3913743912,107834.2969278249,162861.84384242116,2247.37812166,8533962.707972394
2023-04-01,2870336.718632299,582217.6861544249,4928298.2673516795,182329.79008409614,257559.48963301,226504.6181672648,121574.33961020243,164961.26780843845,2391.0009314699996,9353958.27774988
2023-05-01,3164173.223070919,662656.981704087,5350661.47688735,217363.28282787275,277166.37685834005,251288.1584123674,129221.04155791036,196767.8291932881,2960.71770302,10276068.846950572
2023-06-01,3464403.729586433,745851.989435231,5484677.010198224,283472.61084509443,297446.23532764,287732.13123815367,138584.6261374541,198131.34290433384,4730.41794164,10936149.181104844
2023-07-01,3796969.2069662255,820203.5914089984,6321339.017322584,314682.92809609853,323294.50833028,321294.28239194484,143654.2746402316,199802.85777754796,5534.317814520001,12284028.8614489
2023-08-01,4728317.24702513,1079245.36259991,7163360.51090024,463556.59352666803,378733.88536614,423632.739863895,186886.007615312,227451.797175461,6911.7076362299995,14720287.268049302
2023-09-01,4629351.124736008,1045097.4645136181,8525212.637007948,375645.97834853345,413220.08631019,441072.7065139006,184568.31855355346,247250.49515437288,8074.24796094,15940664.588302713
2023-10-01,5466970.92265097,1301355.4487224978,9752152.933966156,400036.874349039,449303.70400892,565841.8289819646,214882.183530771,267106.08452385897,8741.03232821,18524002.59444535
2023-11-01,6343312.64706612,1510697.3321003923,10888848.762941295,548029.6644758648,493017.68516935996,619784.1048770758,235213.49454860113,305702.24464453064,11008.01212936,21069155.210961077
2023-12-01,8231126.028582921,1982878.6122656462,13874440.398175955,639340.7004890527,676426.15119702,724005.8367194337,289613.00468770624,367259.20611035527,14504.62747358,26977760.6277352
2024-01-01,8842594.6487285,2276785.1840638737,15383108.03405242,948867.5741554904,719932.89172985,896024.7206050777,343039.8558189082,378518.1087658037,18298.58875513,30014935.928312525
2024-02-01,8024937.42499928,2097935.82200048,16260032.603286015,703790.4156790996,741431.39441701,766914.1524301212,311499.9672024502,380176.80559094175,17271.052940259997,29476192.610127155
2024-03-01,8481576.157893648,2243484.7076072013,17431879.24672202,823414.317152244,830843.71893637,793357.9674078249,313842.1294377258,463961.1002709726,16166.96960403,31596052.943442896
2024-04-01,9092188.90914637,2350906.733533119,21166206.289277766,910886.0126369409,875135.73081862,774970.9077950071,325798.8937527389,502732.8367311676,16772.41727861,36237350.16457727
2024-05-01,10645020.346103622,2778687.6307006814,23618738.8594244,1237778.9014182466,923018.93772549,814098.2841295544,379426.38496937323,513050.56269657373,17869.91378728,41104160.25006742
2024-06-01,10794390.19935623,2997402.171868886,23181388.715879902,1258839.5428769076,979742.0525774,887306.7187412399,472836.8921230128,512131.88109746744,19069.11315093,41278251.57690882
2024-07-01,11164777.516852222,3012608.2584601636,25897291.04957755,1090492.4158740728,999012.17672546,875481.8484144721,469086.77141141257,553618.9567306133,20070.631319279997,44257932.2264395
