indice_tiempo,bolsa_g,burcap,merval,merval_arg,merval_25
2004-10-04,51553.0,2881.26,1167.09,1085.43,1151.0
2004-10-05,50346.26,2830.79,1135.37,1054.1,1151.0
2004-10-06,50553.64,2852.15,1128.0,1046.48,1113.0
2004-10-07,50978.02,2868.16,1140.26,1059.0,1126.0
2004-10-08,50763.08,2853.87,1128.74,1048.06,1115.0
2004-10-09,,,,,
2004-10-10,,,,,
2004-10-11,,,,,
2004-10-12,50534.98,2814.38,1138.06,1058.27,1124.0
2004-10-13,50877.96,2821.37,1165.66,1086.09,1148.0
2004-10-14,51354.06,2839.7,1192.65,1110.96,1171.0
2004-10-15,52538.85,2911.59,1228.85,1145.25,1205.0
2004-10-16,,,,,
2004-10-17,,,,,
2004-10-18,52753.71,2919.53,1243.95,1158.14,1218.0
2004-10-19,51742.59,2844.05,1215.42,1132.88,1193.0
2004-10-20,51478.11,2822.5,1215.24,1133.08,1192.0
2004-10-21,52230.43,2874.32,1234.56,1149.98,1211.0
2004-10-22,51185.04,2816.59,1204.46,1121.39,1182.0
2004-10-23,,,,,
2004-10-24,,,,,
2004-10-25,51172.04,2820.32,1209.47,1125.01,1186.0
2004-10-26,51522.01,2862.2,1225.35,1136.85,1200.0
2004-10-27,52974.58,2940.36,1286.08,1192.87,1255.0
2004-10-28,52901.86,2935.37,1280.77,1187.97,1248.0
2004-10-29,53055.2,2941.07,1287.14,1193.44,1254.0
2004-10-30,,,,,
2004-10-31,,,,,
2004-11-01,53889.86,2985.89,1314.5,1220.92,1280.0
2004-11-02,53483.59,2946.75,1299.92,1207.35,1267.0
2004-11-03,53253.37,2926.17,1289.42,1197.67,1257.0
2004-11-04,53656.29,2962.79,1302.9,1209.08,1268.0
2004-11-05,54377.1,3003.47,1325.17,1231.66,1291.0
2004-11-06,,,,,
2004-11-07,,,,,
2004-11-08,53904.52,2984.03,1296.96,1204.42,1266.0
2004-11-09,53712.16,2983.99,1286.19,1195.35,1258.0
2004-11-10,53724.24,3001.34,1297.23,1203.85,1266.0
2004-11-11,53021.33,2965.12,1284.26,1192.92,1253.0
2004-11-12,52935.0,2986.27,1257.6,1165.25,1229.0
2004-11-13,,,,,
2004-11-14,,,,,
2004-11-15,52378.06,2938.84,1247.81,1157.62,1219.0
2004-11-16,52958.94,2971.96,1257.75,1167.66,1228.0
2004-11-17,53178.41,2984.52,1262.14,1171.74,1233.0
2004-11-18,53216.17,2982.7,1263.63,1172.63,1234.0
2004-11-19,53133.36,2974.58,1254.45,1164.65,1226.0
2004-11-20,,,,,
2004-11-21,,,,,
2004-11-22,51123.61,2858.23,1193.37,1106.69,1168.0
2004-11-23,51320.04,2869.55,1204.14,1116.35,1178.0
2004-11-24,50574.7,2839.77,1182.17,1094.29,1155.0
2004-11-25,51009.25,2865.24,1187.32,1098.75,1160.0
2004-11-26,51158.56,2877.47,1183.16,1094.42,1157.0
2004-11-27,,,,,
2004-11-28,,,,,
2004-11-29,50751.94,2849.68,1167.46,1079.12,1142.0
2004-11-30,52184.2,2932.18,1213.09,1122.34,1186.0
2004-12-01,52376.3,2910.06,1220.95,1132.22,1194.0
2004-12-02,51293.26,2855.43,1193.59,1106.31,1169.0
2004-12-03,52269.18,2915.41,1218.75,1128.8,1192.0
2004-12-04,,,,,
2004-12-05,,,,,
2004-12-06,52471.89,2925.77,1223.54,1133.1,1196.0
2004-12-07,51643.34,2879.07,1204.62,1115.53,1177.0
2004-12-08,51643.34,2879.07,1204.62,1115.53,1177.0
2004-12-09,51902.86,2892.3,1219.0,1128.55,1189.0
2004-12-10,52179.44,2902.42,1234.3,1142.92,1203.0
2004-12-11,,,,,
2004-12-12,,,,,
2004-12-13,52185.04,2911.62,1233.32,1140.72,1202.0
2004-12-14,51936.37,2905.66,1237.49,1143.38,1205.0
2004-12-15,52276.64,2941.17,1253.47,1156.8,1219.0
2004-12-16,52153.71,2915.47,1246.68,1151.48,1219.0
2004-12-17,52272.43,2921.62,1255.84,1160.42,1219.0
2004-12-18,,,,,
2004-12-19,,,,,
2004-12-20,54045.73,2995.41,1305.87,1209.37,1219.0
2004-12-21,54515.57,3016.24,1325.29,1227.8,1219.0
2004-12-22,54253.96,2991.87,1322.37,1225.77,1282.0
2004-12-23,55430.43,3052.04,1356.6,1259.43,1314.0
2004-12-24,55838.3,3080.94,1366.69,1268.83,1325.0
2004-12-25,,,,,
2004-12-26,,,,,
2004-12-27,56122.2,3082.13,1376.25,1278.83,1334.0
2004-12-28,56241.8,3085.71,1366.73,1270.3,1328.0
2004-12-29,56675.95,3123.55,1389.53,1290.64,1349.0
2004-12-30,56420.89,3099.0,1384.61,1285.82,1344.0
2004-12-31,56639.12,3113.23,1375.37,1278.41,1338.0
2005-01-01,,,,,
2005-01-02,,,,,
2005-01-03,56154.11,3064.3,1369.5,1275.31,1332.0
2005-01-04,55181.48,3019.69,1337.46,1244.09,1301.0
2005-01-05,53885.97,2945.71,1305.56,1214.51,1270.0
2005-01-06,54293.5,2971.24,1316.63,1225.04,1281.0
2005-01-07,54025.12,2948.29,1309.45,1218.9,1275.0
2005-01-08,,,,,
2005-01-09,,,,,
2005-01-10,55086.78,3001.89,1334.58,1243.77,1299.0
2005-01-11,55660.84,3019.97,1350.92,1260.88,1316.0
2005-01-12,55366.72,2988.44,1344.11,1255.69,1311.0
2005-01-13,55428.84,3003.6,1347.29,1258.02,1314.0
2005-01-14,55528.21,3007.11,1344.7,1256.28,1310.0
2005-01-15,,,,,
2005-01-16,,,,,
2005-01-17,55729.92,3018.79,1348.69,1259.51,1315.0
2005-01-18,55587.74,3004.71,1345.47,1258.35,1312.0
2005-01-19,55528.29,3002.66,1336.96,1249.67,1303.0
2005-01-20,55016.61,2967.53,1319.19,1233.3,1286.0
2005-01-21,55157.96,2984.16,1325.74,1238.31,1292.0
2005-01-22,,,,,
2005-01-23,,,,,
2005-01-24,54930.97,2968.86,1311.92,1224.99,1280.0
2005-01-25,54881.94,2953.16,1309.67,1225.32,1281.0
2005-01-26,56226.61,3024.84,1355.32,1269.48,1325.0
2005-01-27,56861.41,3070.14,1378.43,1290.7,1346.0
2005-01-28,57041.22,3088.53,1381.92,1292.1,1349.0
2005-01-29,,,,,
2005-01-30,,,,,
2005-01-31,56939.7,3079.03,1373.79,1285.19,1343.0
2005-02-01,57139.65,3093.5,1373.41,1286.11,1345.0
2005-02-02,57009.44,3108.94,1371.02,1280.59,1343.0
2005-02-03,57969.92,3174.97,1399.23,1305.1,1370.0
2005-02-04,59074.68,3223.81,1428.54,1334.54,1397.0
2005-02-05,,,,,
2005-02-06,,,,,
2005-02-07,59322.69,3239.08,1434.03,1338.27,1402.0
2005-02-08,60582.16,3321.01,1480.11,1380.03,1443.0
2005-02-09,60850.88,3330.86,1484.6,1385.1,1448.0
2005-02-10,60936.85,3337.54,1487.39,1389.18,1452.0
2005-02-11,61343.5,3357.1,1496.91,1397.77,1462.0
2005-02-12,,,,,
2005-02-13,,,,,
2005-02-14,62283.54,3400.79,1517.93,1418.52,1485.0
2005-02-15,61962.76,3368.57,1493.96,1394.3,1463.0
2005-02-16,62871.37,3420.73,1508.84,1406.06,1477.0
2005-02-17,64124.12,3460.96,1531.86,1431.46,1499.0
2005-02-18,65143.23,3532.84,1557.77,1455.25,1524.0
2005-02-19,,,,,
2005-02-20,,,,,
2005-02-21,64232.44,3474.48,1534.01,1436.25,1501.0
2005-02-22,64993.14,3523.56,1556.03,1458.14,1524.0
2005-02-23,64342.0,3473.54,1520.9,1425.36,1493.0
2005-02-24,64621.46,3510.85,1529.64,1430.58,1500.0
2005-02-25,67182.68,3679.31,1600.32,1494.21,1567.0
2005-02-26,,,,,
2005-02-27,,,,,
2005-02-28,66296.8,3666.1,1558.62,1448.23,1528.0
2005-03-01,67926.16,3743.89,1598.38,1489.06,1568.0
2005-03-02,67217.64,3702.86,1582.39,1473.34,1553.0
2005-03-03,67024.78,3693.2,1577.13,1467.0,1547.0
2005-03-04,67454.05,3722.84,1581.36,1469.47,1551.0
2005-03-05,,,,,
2005-03-06,,,,,
2005-03-07,67855.83,3761.36,1590.74,1474.67,1559.0
2005-03-08,67625.29,3733.27,1596.81,1482.44,1564.0
2005-03-09,64806.46,3581.78,1530.02,1416.9,1498.0
