indice_tiempo,aa19_cotizacion,aa19_yield,aa19_dur,aa19_ppv_en_anios,aa21_cotizacion,aa21_yield,aa21_dur,aa21_ppv_en_anios,a2e2_cotizacion,a2e2_yield,a2e2_dur,a2e2_ppv_en_anios,a2e3_cotizacion,a2e3_yield,a2e3_dur,a2e3_ppv_en_anios,aa26_cotizacion,aa26_yield,aa26_dur,aa26_ppv_en_anios,a2e7_cotizacion,a2e7_yield,a2e7_dur,a2e7_ppv_en_anios,a2e8_cotizacion,a2e8_yield,a2e8_dur,a2e8_ppv_en_anios,dicy_cotizacion,dicy_yield,dicy_dur,dicy_ppv_en_anios,diy0_cotizacion,diy0_yield,diy0_dur,diy0_ppv_en_anios,pary_cotizacion,pary_yield,pary_dur,pary_ppv_en_anios,aa46_cotizacion,aa46_yield,aa46_dur,aa46_ppv_en_anios,aa48_cotizacion,aa48_yield,aa48_dur,aa48_ppv_en_anios,ac17_cotizacion,ac17_yield,ac17_dur,ac17_ppv_en_anios,an18_cotizacion,an18_yield,an18_dur,an18_ppv_en_anios,ao20_cotizacion,ao20_yield,ao20_dur,ao20_ppv_en_anios,ay24_cotizacion,ay24_yield,ay24_dur,ay24_ppv_en_anios,aa25_cotizacion,aa25_yield,aa25_dur,aa25_ppv_en_anios,dica_cotizacion,dica_yield,dica_dur,dica_ppv_en_anios,aa37_cotizacion,aa37_yield,aa37_dur,aa37_ppv_en_anios,para_cotizacion,para_yield,para_dur,para_ppv_en_anios,as17_cotizacion,as17_yield,as17_dur,as17_ppv_en_anios,am18_cotizacion,am18_yield,am18_dur,am18_ppv_en_anios,tv21_cotizacion,tv21_yield,tv21_dur,tv21_ppv_en_anios,tm18_cotizacion,tm18_yield,tm18_dur,tm18_ppv_en_anios,ts18_cotizacion,ts18_yield,ts18_dur,ts18_ppv_en_anios,tn20_cotizacion,tn20_yield,tn20_dur,tn20_ppv_en_anios,to21_cotizacion,to21_yield,to21_dur,to21_ppv_en_anios,to23_cotizacion,to23_yield,to23_dur,to23_ppv_en_anios,to26_cotizacion,to26_yield,to26_dur,to26_ppv_en_anios,tj20_cotizacion,tj20_yield,tj20_dur,tj20_ppv_en_anios,tb21_cotizacion,tb21_yield,tb21_dur,tb21_ppv_en_anios,pr15_cot_anios,pr15_yield_anios,pr15_dm_en_anios,pr15_ppv_anios,ao17_cotizacion,ao17_yield,ao17_dur,ao17_ppv_en_anios,amx8_cotizacion,amx8_yield,amx8_dur,amx8_ppv_en_anios,amx9_cotizacion,amx9_yield,amx9_dur,amx9_ppv_en_anios,am20_cotizacion,am20_yield,am20_dur,am20_ppv_en_anios,aa22_cotizacion,aa22_yield,aa22_dur,aa22_ppv_en_anios,a2j9_cotizacion,a2j9_yield,a2j9_dur,a2j9_ppv_en_anios,a2j9d_cotizacion,a2j9d_yield,a2j9d_dur,a2j9d_ppv_en_anios,af20_cotizacion,af20_yield,af20_dur,af20_ppv_en_anios,af20d_cotizacion,af20d_yield,af20d_dur,af20d_ppv_en_anios,nf18_cotizacion,nf18_yield,nf18_dur,nf18_ppv_en_anios,tc20_cotizacion,tc20_yield,tc20_dur,tc20_ppv_en_anios,no20_cotizacion,no20_yield,no20_dur,no20_ppv_en_anios,tc21_cotizacion,tc21_yield,tc21_dur,tc21_ppv_en_anios,tx21_cotizacion,tx21_yield,tx21_dur,tx21_ppv_en_anios,tc23_cotizacion,tc23_yield,tc23_dur,tc23_ppv_en_anios,pr13_cotizacion,pr13_yield,pr13_dur,pr13_ppv_en_anios,tc25p_cotizacion,tc25p_yield,tc25p_dur,tc25p_ppv_en_anios,dicp_cotizacion,dicp_yield,dicp_dur,dicp_ppv_en_anios,parp_cotizacion,parp_yield,parp_dur,parp_ppv_en_anios,cuap_cotizacion,cuap_yield,cuap_dur,cuap_ppv_en_anios,af19_cotizacion,af19_yield,af19_dur,af19_ppv_en_anios,a2m2_cotizacion,a2m2_yield,a2m2_dur,a2m2_ppv_en_anios,td21_cotizacion,td21_yield,td21_dur,td21_ppv_en_anios,tvpp_cotizacion,tvpy_cotizacion,tvpa_cotizacion,tvpe_cotizacion
2013-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700.0,0.080265,8.953592,11.9868,,,,,252.0,0.084898,12.57907,17.5272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,665.0,0.086206,8.757098,11.9868,,,,,241.0,0.088574,12.369344,17.5272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.5,0.239254,4.913044,6.537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.0,0.102487,2.491645,2.7468,,,,,,,,,,,,,,,,,,,,,149.0,0.1281,4.998972,6.0978,,,,,131.25,0.144516,7.526447,12.636,47.5,0.118083,12.693837,19.0318,,,,,,,,,,,,,,,,,7.145,50.85,50.7,57.0
2013-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700.0,0.080347,8.948217,11.984,670.0,0.085414,8.780469,12.6332,252.0,0.084958,12.573035,17.5244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675.0,0.084547,8.809039,11.984,,,,,245.0,0.087271,12.440973,17.5244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.5,0.23481,4.937254,6.5343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.5,0.098482,2.496996,2.744,,,,,,,,,,,,,,,,,,,,,150.35,0.12619,5.009697,6.0951,,,,,133.75,0.141912,7.599752,12.6332,46.25,0.120308,12.563981,19.029,,,,,,,,,,,,,,,,,7.34,50.3,50.4,55.6
2013-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700.0,0.080371,8.944776,11.9812,673.0,0.084919,8.794155,12.6303,252.0,0.084976,12.569364,17.5217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,670.0,0.085441,8.776978,11.9812,,,,,245.0,0.08729,12.437268,17.5217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.0,0.231409,4.977739,6.555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267.0,0.097777,2.495703,2.7412,,,,,,,,,,,,,,,,,,,,,150.0,0.126773,5.002877,6.0923,,,,,134.25,0.141416,7.611532,12.6303,46.0,0.120784,12.534177,19.0263,,,,,,,,,,,,,,,,,7.2,49.0,50.0,54.5
2013-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,698.0,0.08084,8.926541,11.9784,,,,,250.0,0.08573,12.523703,17.5189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660.0,0.087353,8.711637,11.9784,,,,,245.0,0.087393,12.428784,17.5189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.0,0.231542,4.974336,6.5522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267.5,0.097072,2.494409,2.7385,,,,,,,,,,,,,,,,,,,,,149.7,0.127286,4.996561,6.0895,,,,,134.95,0.140719,7.62928,12.6274,45.0,0.122647,12.425121,19.0235,71.5,0.138849,9.48201,21.9866,,,,,,,,,,,,,7.08,47.25,48.1,52.25
2013-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690.0,0.082192,8.879011,11.9756,,,,,250.0,0.085748,12.520021,17.5161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,655.0,0.088279,8.678754,11.9756,,,,,246.0,0.087075,12.444272,17.5161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.0,0.236357,4.920147,6.5261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268.35,0.0958,2.494264,2.7357,,,,,,,,,,,,,,,,,,,,,150.0,0.126917,4.996442,6.0867,,,,,134.5,0.141201,7.612352,12.6245,44.5,0.123615,12.367285,19.0207,,,,,,,,,,,,,,,,,6.75,44.0,45.4,50.3
2013-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680.0,0.084078,8.80872,11.9673,,,,,247.5,0.086714,12.457019,17.5078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650.0,0.089392,8.634604,11.9673,,,,,251.0,0.085559,12.522928,17.5078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.0,0.2271,4.994411,6.5447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.0,0.088666,2.500602,2.7274,,,,,,,,,,,,,,,,,,,,,150.75,0.126035,4.994521,6.0784,,,,,136.0,0.139733,7.64732,12.6159,45.0,0.122754,12.408707,19.0124,72.15,0.139334,9.442116,21.9755,,,,,,,,,,,,,6.75,44.0,45.0,51.2
2013-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,673.0,0.085372,8.763476,12.613,249.5,0.086111,12.48877,17.505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,645.0,0.090403,8.59916,11.9645,,,,,250.0,0.085947,12.498165,17.505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.0,0.224387,5.028695,6.5627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.0,0.090355,2.494441,2.7246,,,,,,,,,,,,,,,,,,,,,149.5,0.127944,4.978385,6.0756,,,,,134.25,0.14154,7.591313,12.613,44.5,0.123722,12.350803,19.0096,72.5,0.138836,9.470002,21.9727,,,,,,,,,,,,,6.8,43.8,44.8,51.7
2013-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,665.0,0.086863,8.711905,11.9618,,,,,248.0,0.086668,12.45436,17.5022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,644.0,0.090677,8.58763,11.9618,,,,,248.5,0.086502,12.463834,17.5022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.7,0.227851,4.991266,6.5461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269.0,0.09529,2.481707,2.7218,,,,,,,,,,,,,,,,,,,,,148.9,0.128908,4.968918,6.0728,,,,,133.5,0.142339,7.565131,12.6101,44.0,0.124707,12.292019,19.0068,72.5,0.138875,9.465018,21.9699,,,,,,,,,,,,,6.685,43.6,45.0,50.9
