fecha,zona_prov,w_median
2013-01-01,BUENOS AIRES,6031
2013-01-01,CAPITAL FEDERAL,6853
2013-01-01,CATAMARCA,5007
2013-01-01,CHACO,5598
2013-01-01,CHUBUT,7676
2013-01-01,CORDOBA,5940
2013-01-01,CORRIENTES,4981
2013-01-01,ENTRE RIOS,5108
2013-01-01,FORMOSA,4838
2013-01-01,JUJUY,4644
2013-01-01,LA PAMPA,6686
2013-01-01,LA RIOJA,4021
2013-01-01,MENDOZA,5286
2013-01-01,MISIONES,4930
2013-01-01,NEUQUEN,7324
2013-01-01,RIO NEGRO,5382
2013-01-01,SALTA,4720
2013-01-01,SAN JUAN,5326
2013-01-01,SAN LUIS,5601
2013-01-01,SANTA CRUZ,10419
2013-01-01,SANTA FE,6044
2013-01-01,SANTIAGO DEL ESTERO,3990
2013-01-01,TIERRA DEL FUEGO,10761
2013-01-01,TUCUMAN,4594
2013-02-01,BUENOS AIRES,5921
2013-02-01,CAPITAL FEDERAL,6728
2013-02-01,CATAMARCA,4877
2013-02-01,CHACO,5461
2013-02-01,CHUBUT,7731
2013-02-01,CORDOBA,5885
2013-02-01,CORRIENTES,5073
2013-02-01,ENTRE RIOS,5018
2013-02-01,FORMOSA,4805
2013-02-01,JUJUY,4580
2013-02-01,LA PAMPA,6212
2013-02-01,LA RIOJA,3855
2013-02-01,MENDOZA,5252
2013-02-01,MISIONES,4923
2013-02-01,NEUQUEN,7218
2013-02-01,RIO NEGRO,6104
2013-02-01,SALTA,4975
2013-02-01,SAN JUAN,5317
2013-02-01,SAN LUIS,5561
2013-02-01,SANTA CRUZ,10543
2013-02-01,SANTA FE,5941
2013-02-01,SANTIAGO DEL ESTERO,4030
2013-02-01,TIERRA DEL FUEGO,11402
2013-02-01,TUCUMAN,4550
2013-03-01,BUENOS AIRES,6094
2013-03-01,CAPITAL FEDERAL,6730
2013-03-01,CATAMARCA,4993
2013-03-01,CHACO,5546
2013-03-01,CHUBUT,7784
2013-03-01,CORDOBA,6135
2013-03-01,CORRIENTES,5353
2013-03-01,ENTRE RIOS,5480
2013-03-01,FORMOSA,5403
2013-03-01,JUJUY,5038
2013-03-01,LA PAMPA,6414
2013-03-01,LA RIOJA,3907
2013-03-01,MENDOZA,5151
2013-03-01,MISIONES,5000
2013-03-01,NEUQUEN,7294
2013-03-01,RIO NEGRO,6172
2013-03-01,SALTA,5104
2013-03-01,SAN JUAN,5753
2013-03-01,SAN LUIS,5765
2013-03-01,SANTA CRUZ,10762
2013-03-01,SANTA FE,6295
2013-03-01,SANTIAGO DEL ESTERO,4614
2013-03-01,TIERRA DEL FUEGO,11897
2013-03-01,TUCUMAN,4646
2013-04-01,BUENOS AIRES,6211
2013-04-01,CAPITAL FEDERAL,6881
2013-04-01,CATAMARCA,5136
2013-04-01,CHACO,5678
2013-04-01,CHUBUT,8129
2013-04-01,CORDOBA,6152
2013-04-01,CORRIENTES,5489
2013-04-01,ENTRE RIOS,5612
2013-04-01,FORMOSA,5495
2013-04-01,JUJUY,5355
2013-04-01,LA PAMPA,6431
2013-04-01,LA RIOJA,4417
2013-04-01,MENDOZA,5712
2013-04-01,MISIONES,5241
2013-04-01,NEUQUEN,7485
2013-04-01,RIO NEGRO,6329
2013-04-01,SALTA,5272
2013-04-01,SAN JUAN,5972
2013-04-01,SAN LUIS,5881
2013-04-01,SANTA CRUZ,11398
2013-04-01,SANTA FE,6390
2013-04-01,SANTIAGO DEL ESTERO,4689
2013-04-01,TIERRA DEL FUEGO,12234
2013-04-01,TUCUMAN,4713
2013-05-01,BUENOS AIRES,6681
2013-05-01,CAPITAL FEDERAL,7224
2013-05-01,CATAMARCA,5511
2013-05-01,CHACO,5844
2013-05-01,CHUBUT,8498
2013-05-01,CORDOBA,6678
2013-05-01,CORRIENTES,5568
2013-05-01,ENTRE RIOS,5684
2013-05-01,FORMOSA,5603
2013-05-01,JUJUY,5327
2013-05-01,LA PAMPA,6827
2013-05-01,LA RIOJA,4587
2013-05-01,MENDOZA,6000
2013-05-01,MISIONES,5426
2013-05-01,NEUQUEN,7728
2013-05-01,RIO NEGRO,6624
2013-05-01,SALTA,5429
2013-05-01,SAN JUAN,6211
2013-05-01,SAN LUIS,6226
2013-05-01,SANTA CRUZ,11956
2013-05-01,SANTA FE,6840
2013-05-01,SANTIAGO DEL ESTERO,4688
2013-05-01,TIERRA DEL FUEGO,12692
2013-05-01,TUCUMAN,4857
2013-06-01,BUENOS AIRES,9561
2013-06-01,CAPITAL FEDERAL,10620
2013-06-01,CATAMARCA,8108
2013-06-01,CHACO,8238
2013-06-01,CHUBUT,11388
2013-06-01,CORDOBA,9663
2013-06-01,CORRIENTES,8009
2013-06-01,ENTRE RIOS,8115
2013-06-01,FORMOSA,7919
2013-06-01,JUJUY,7679
2013-06-01,LA PAMPA,10067
2013-06-01,LA RIOJA,6551
2013-06-01,MENDOZA,8565
2013-06-01,MISIONES,7203
2013-06-01,NEUQUEN,11111
2013-06-01,RIO NEGRO,9278
2013-06-01,SALTA,7494
2013-06-01,SAN JUAN,9032
2013-06-01,SAN LUIS,8969
2013-06-01,SANTA CRUZ,17683
2013-06-01,SANTA FE,9826
2013-06-01,SANTIAGO DEL ESTERO,6756
2013-06-01,TIERRA DEL FUEGO,16530
2013-06-01,TUCUMAN,6846
2013-07-01,BUENOS AIRES,6878
2013-07-01,CAPITAL FEDERAL,7558
2013-07-01,CATAMARCA,5731
2013-07-01,CHACO,6105
2013-07-01,CHUBUT,9116
2013-07-01,CORDOBA,6855
2013-07-01,CORRIENTES,5966
2013-07-01,ENTRE RIOS,5894
2013-07-01,FORMOSA,5925
2013-07-01,JUJUY,5489
2013-07-01,LA PAMPA,7232
2013-07-01,LA RIOJA,4709
2013-07-01,MENDOZA,6223
2013-07-01,MISIONES,5791
2013-07-01,NEUQUEN,8331
2013-07-01,RIO NEGRO,6917
2013-07-01,SALTA,5630
2013-07-01,SAN JUAN,6393
2013-07-01,SAN LUIS,6610
2013-07-01,SANTA CRUZ,13101
2013-07-01,SANTA FE,7051
2013-07-01,SANTIAGO DEL ESTERO,4823
2013-07-01,TIERRA DEL FUEGO,14037
2013-07-01,TUCUMAN,5051
2013-08-01,BUENOS AIRES,6898
2013-08-01,CAPITAL FEDERAL,7751
2013-08-01,CATAMARCA,5782
2013-08-01,CHACO,6273
2013-08-01,CHUBUT,9057
2013-08-01,CORDOBA,6877
2013-08-01,CORRIENTES,6008
2013-08-01,ENTRE RIOS,6068
2013-08-01,FORMOSA,5843
2013-08-01,JUJUY,5855
2013-08-01,LA PAMPA,7111
2013-08-01,LA RIOJA,5040
2013-08-01,MENDOZA,6399
2013-08-01,MISIONES,5899
2013-08-01,NEUQUEN,8405
2013-08-01,RIO NEGRO,7088
2013-08-01,SALTA,5815
2013-08-01,SAN JUAN,6341
2013-08-01,SAN LUIS,6606
2013-08-01,SANTA CRUZ,12925
2013-08-01,SANTA FE,7070
2013-08-01,SANTIAGO DEL ESTERO,4798
2013-08-01,TIERRA DEL FUEGO,14034
2013-08-01,TUCUMAN,5050
2013-09-01,BUENOS AIRES,6990
2013-09-01,CAPITAL FEDERAL,7826
2013-09-01,CATAMARCA,5848
2013-09-01,CHACO,6298
2013-09-01,CHUBUT,9258
2013-09-01,CORDOBA,6936
2013-09-01,CORRIENTES,6092
2013-09-01,ENTRE RIOS,6119
2013-09-01,FORMOSA,5990
2013-09-01,JUJUY,5810
2013-09-01,LA PAMPA,7329
2013-09-01,LA RIOJA,5132
2013-09-01,MENDOZA,6255
2013-09-01,MISIONES,5966
2013-09-01,NEUQUEN,8490
2013-09-01,RIO NEGRO,7097
2013-09-01,SALTA,5819
2013-09-01,SAN JUAN,6285
2013-09-01,SAN LUIS,6609
2013-09-01,SANTA CRUZ,12883
2013-09-01,SANTA FE,7098
2013-09-01,SANTIAGO DEL ESTERO,4822
2013-09-01,TIERRA DEL FUEGO,14620
2013-09-01,TUCUMAN,5196
2013-10-01,BUENOS AIRES,7120
2013-10-01,CAPITAL FEDERAL,7993
2013-10-01,CATAMARCA,5987
2013-10-01,CHACO,6459
2013-10-01,CHUBUT,9346
2013-10-01,CORDOBA,7037
2013-10-01,CORRIENTES,6092
2013-10-01,ENTRE RIOS,6218
2013-10-01,FORMOSA,6178
2013-10-01,JUJUY,5874
2013-10-01,LA PAMPA,7405
2013-10-01,LA RIOJA,5208
2013-10-01,MENDOZA,6367
2013-10-01,MISIONES,6229
2013-10-01,NEUQUEN,8582
2013-10-01,RIO NEGRO,7192
2013-10-01,SALTA,5855
2013-10-01,SAN JUAN,6301
2013-10-01,SAN LUIS,6689
2013-10-01,SANTA CRUZ,13315
2013-10-01,SANTA FE,7185
2013-10-01,SANTIAGO DEL ESTERO,4836
2013-10-01,TIERRA DEL FUEGO,14931
2013-10-01,TUCUMAN,5476
2013-11-01,BUENOS AIRES,7319
2013-11-01,CAPITAL FEDERAL,8150
2013-11-01,CATAMARCA,6000
2013-11-01,CHACO,6890
2013-11-01,CHUBUT,9602
2013-11-01,CORDOBA,7316
2013-11-01,CORRIENTES,6401
2013-11-01,ENTRE RIOS,6236
2013-11-01,FORMOSA,6100
2013-11-01,JUJUY,5906
2013-11-01,LA PAMPA,7643
2013-11-01,LA RIOJA,5280
2013-11-01,MENDOZA,6390
2013-11-01,MISIONES,5997
2013-11-01,NEUQUEN,8742
2013-11-01,RIO NEGRO,7193
2013-11-01,SALTA,5869
2013-11-01,SAN JUAN,6397
2013-11-01,SAN LUIS,6795
2013-11-01,SANTA CRUZ,13590
2013-11-01,SANTA FE,7396
2013-11-01,SANTIAGO DEL ESTERO,4878
2013-11-01,TIERRA DEL FUEGO,15193
2013-11-01,TUCUMAN,5520
2013-12-01,BUENOS AIRES,10695
2013-12-01,CAPITAL FEDERAL,11990
